phone_md5,ft_tag_gender,ft_tag_marrige,parent,ft_lbs_same_night_stay_wifimac_cnt,ft_tag_occupation_office,ft_tag_province,ft_tag_city,ft_tag_city_tier,ft_asset_score_a_rule,ft_asset_score_b_rule,ft_asset_score_c_rule,ft_asset_score_d_rule,ft_asset_score_e_rule,ft_asset_score_f_rule,ft_tag_p2p,ft_tag_stock,ft_tag_asset_management,ft_tag_bookkeeping,ft_tag_banking,ft_tag_credit_card,ft_tag_lottery,ft_stable_score_a_rule,ft_stable_score_b_rule,ft_stable_score_c_rule,ft_stable_score_d_rule,ft_stable_score_e_rule,ft_stable_score_f_rule
b5af3e45c52309f0c45cd6cad7d15f57,1,1,0,2.5,1,31000000,31000000,1,539,3,548,3,547,0,0,1,1,0,1,1,0,552,7,549,6,538,4
55a379229959dab7db9ed962f1ed0bea,1,1,0,2.5,0,13000000,13060000,3,543,3,543,5,549,2,3,1,1,0,1,1,0,567,10,551,6,549,9
f7740995e71c2fb3a3e432de1494f7de,1,0,0,2.5,0,44000000,44030000,1,553,5,549,4,547,1,0,1,0,1,1,1,0,546,5,549,6,548,6
aad09555ff68dead5ffb29d76ae8beb3,0,2,0,2.5,0,44000000,44130000,3,565,6,552,5,560,3,0,0,0,0,0,0,0,569,11,555,8,548,8
629373b07fd16222df336cb9a6968a26,1,1,0,2.5,1,44000000,44060000,2,539,2,541,3,549,2,0,1,0,0,1,0,0,567,10,563,9,547,7
8860a0b6ddaddaec2ce392ebb8f6ac46,1,0,0,2.5,1,37000000,37020000,2,558,5,551,4,549,1,0,0,0,1,1,0,0,575,10,553,10,556,9
693f865365c62ee95742fce6460d143e,1,1,0,2.5,1,33000000,33010000,2,529,0,543,3,563,3,0,1,1,0,1,1,0,534,5,547,6,540,5
8e1a1805f698cf7c13ed157ccbae6a46,1,2,1,2.5,1,33000000,33100000,3,543,3,550,5,549,2,0,1,0,0,1,0,0,541,7,556,9,551,10
fa06dba56705dccfd6bfb50ffb6d2a84,1,1,0,2.5,1,31000000,31000000,1,542,2,544,4,563,2,0,1,1,0,1,1,0,542,3,557,9,579,8
42194a75b4e911b9879b3dae92170080,1,1,0,2.5,0,33000000,33010000,2,543,3,539,4,552,2,0,1,0,0,1,1,0,552,5,543,5,537,6
72606bb78fbb7d04cfd8a63a3e29c365,0,2,1,3,1,35000000,35010000,2,551,3,548,5,549,2,0,0,0,0,1,0,0,546,5,547,9,554,9
ab318caf2f47c9ff2002bd1f4dbd172e,1,2,0,2.5,0,37000000,37160000,3,544,4,550,4,549,1,0,0,1,0,1,0,0,538,5,546,4,552,8
0ccba4e4821265f48f16c1ae4f406095,1,2,0,2.5,1,44000000,44030000,1,540,3,545,3,546,0,0,1,0,0,1,0,0,560,6,557,6,540,5
